analysis_id,208i8wmc4p9q5t5
pvalue,0.6142647
mouse_life_stage,E9.5
mouse_strain,C57BL
gene_accession_id,MGI:97838
parameter_name,Monocyte percentage
gene_symbol,Eprs1
parameter_id,MGP_PBI_016_001
