analysis_id,0wz2643l239h6p9
parameter_name,Resting CD4+ T helper cells - % of CD45+
pvalue,0.556456
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_MLN_067_001
gene_symbol,GFI1B
gene_accession_id,MGI:1276578
