parameter_id,IMPC_OFD_007_001
mouse_life_stage,E12.5
parameter_name,Whole arena resting time
mouse_strain,C57BL
pvalue,0.2741914
gene_symbol,DMAP1
gene_accession_id,MGI:1913483
analysis_id,8t9gf6y1aadd81r
