gene_symbol,Dnajc6
parameter_id,MGP_IMM_130_001
pvalue,0.9971445
mouse_strain,C57BL
analysis_id,2me3c3v42d04hn0
mouse_life_stage,Early adult
gene_accession_id,MGI:1919935
parameter_name,CD11b-low cDC - % of CD45+
