analysis_id,zri2kisq3645kl0
parameter_id,IMPC_CSD_011_001
gene_symbol,Tnni1
pvalue,0.367125
mouse_life_stage,Early adult
parameter_name,Coat - hair distribution - back
gene_accession_id,MGI:105073
mouse_strain,C57BL
