analysis_id,t7y8mm046phe9tt
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:3616086
parameter_name,Pericardium Morphology
parameter_id,IMPC_GEL_006_001
pvalue,0.4855166
gene_symbol,Kcng1
