gene_symbol,Fpgs
parameter_name,Heart weight
pvalue,0.4589654
analysis_id,plbsjzr7wog6xw3
gene_accession_id,MGI:95576
mouse_strain,C57BL
parameter_id,HMGULA_HWT_008_001
mouse_life_stage,Early adult
