analysis_id,c69oj636453u6ay
Pvalue,0.1822953
gene_accession_id,MGI:1913838
mouse_strain,C57BL
gene_symbol,Cmpk1
parameter_id,IMPC_IMM_050_001
Mouse_life_stage,Early adult
Parameter_name,Neutrophils
