analysis_id,b3fc1t0mby64opw
parameter_id,MGP_MLN_021_001
mouse_strain,C57BL
pvalue,0.8236584
mouse_life_stage,Early adult
parameter_name,KLRG1+ gd T cells - % of gd T cells
gene_symbol,Tnfsf10
gene_accession_id,MGI:107414
