parameter_id,M-G-P_014_001_010
mouse_strain,C57BL
parameter_name,lens opacity
analysis_id,elik4ut5ag70n7q
pvalue,0.534916
gene_accession_id,MGI:1913284
mouse_life_stage,Early adult
gene_symbol,Psmd14
