analysis_id,3h4e8536mf4bl0c
parameter_name,Hindlimb digit - size
gene_accession_id,MGI:2444114
mouse_life_stage,Early adult
gene_symbol,Zcchc2
mouse_strain,C57BL
parameter_id,IMPC_CSD_047_001
pvalue,0.2379796
