analysis_id,9919xm4x2763889
pvalue,0.6649384
mouse_life_stage,Early adult
gene_accession_id,MGI:95835
parameter_id,MGP_PBI_033_001
gene_symbol,Hspa5
mouse_strain,C57BL
parameter_name,CD8+ KLRG1+ alpha beta T cell number
