analysis_id,2i7fczcdvbs495z
gene_symbol,Lcn2
mouse_strain,C57BL
parameter_id,MGP_IMM_027_001
parameter_name,Resting CD4- NKT cells - % of CD4- NKT cells
pvalue,0.6501297
gene_accession_id,MGI:96757
mouse_life_stage,Early adult
