analysis_id,03z9527k53f0yom
mouse_strain,C57BL
parameter_name,% Pre-pulse inhibition - PPI2
mouse_life_stage,Early adult
gene_symbol,Lamb3
pvalue,0.9693708
gene_accession_id,MGI:99915
parameter_id,IMPC_ACS_034_001
