analysis_id,s7e57pjy86x62m0
gene_accession_id,MGI:1931749
parameter_id,M-G-P_014_001_010
mouse_life_stage,Early adult
parameter_name,lens opacity
gene_symbol,Pum1
mouse_strain,C57BL
pvalue,0.5254428
