analysis_id,30x1i1ba2p4217f
mouse_life_stage,E12.5
parameter_name,Neutrophil differential count
gene_symbol,Eprs1
pvalue,0.3351228
mouse_strain,C57BL
gene_accession_id,MGI:97838
parameter_id,IMPC_HEM_029_001
