parameter_name,Hemorrhage
Pvalue,0.4638017
gene_symbol,Trdmt1
Mouse_strain,C57BL
gene_accession_id,MGI:1274787
Analysis_id,go1t2kqf33f9m76
Mouse_life_stage,Early adult
Parameter_id,IMPC_GEO_009_002
