analysis_id,6361e2xb6a8x8t7
gene_symbol,Cd52
gene_accession_id,MGI:1346088
parameter_name,ST
pvalue,0.3912918
mouse_strain,C59BL
mouse_life_stage,Early adult
parameter_id,IMPC_ECG_008_001
