analysis_id,1rg7n82uxk089g6
parameter_name,Total cholesterol
pvalue,0.07369598
parameter_id,HMGULA_CBC_015_001
gene_symbol,Golm2
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2443129
