analysis_id,ot5142a67d6j7k1
gene_symbol,Slc17a9
pvalue,0.39342
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1919107
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
parameter_id,MGP_MLN_006_001
