parameter_name,Whole arena resting time
mouse_strain,C57BL
gene_accession_id,MGI:1924054
pvalue,0.1008149
parameter_id,IMPC_OFD_007_001
mouse_life_stage,Early adult
analysis_id,2j2ai335h1j33p0
gene_symbol,Kdm4c
