parameter_id,IMPC_GRS_011_001
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
mouse_strain,C57BL
gene_accession_id,MGI:3588214
gene_symbol,Rufy4
pvalue,0.669806
mouse_life_stage,Early adult
analysis_id,68jl6iomnf6t4e7
