analysis_id,5ergob6j2jd4lb8
mouse_strain,C57BL
parameter_id,IMPC_GEL_063_001
gene_accession_id,MGI:1914256
gene_symbol,Cisd2
pvalue,0.1742751
mouse_life_stage,Early adult
parameter_name,Delayed embryonic development
