parameter_name,Hemoglobin
parameter_id,IMPC_HEM_003_001
pvalue,0.427747
gene_accession_id,MGI:2444554
mouse_strain,C57BL
analysis_id,pir36ii7d3328m4
mouse_life_stage,Early adult
gene_symbol,Mapkap1
