gene_symbol,Snap23
mouse_life_stage,Middle aged adult
parameter_name,DN CD44+CD62L- NKT cells
analysis_id,2e98a70x406r46r
pvalue,0.2628912
parameter_id,IMPC_IMM_046_001
mouse_strain,C57BL
gene_accession_id,MGI:109356
