parameter_name,Lower teeth appearance
parameter_id,IMPC_CSD_070_001
mouse_strain,C57BL
pvalue,0.09826836
mouse_life_stage,E12.5
gene_accession_id,MGI:95835
analysis_id,42rzig7wei86785
gene_symbol,Hspa5
