parameter_name,Caudal processes
mouse_strain,C57BL
gene_symbol,Nemp2
gene_accession_id,MGI:2444113
parameter_id,IMPC_XRY_067_001
mouse_life_stage,Early adult
analysis_id,7el9e0dby50ob34
pvalue,0.3398389
