parameter_name,Shape of ribcage
mouse_life_stage,E12.5
mouse_strain,C57BL
parameter_id,IMPC_XRY_059_001
gene_accession_id,MGI:97838
analysis_id,pl4toqt038vbp3a
gene_symbol,Eprs1
pvalue,0.37401
