gene_symbol,Fgb
parameter_id,HMGULA_CBC_018_001
mouse_strain,C57BL
analysis_id,f431f33e6276pb4
parameter_name,Glucose
pvalue,0.8085236
gene_accession_id,MGI:99501
mouse_life_stage,Early adult
