analysis_id,x287q577j8e0oeh
pvalue,0.1963512
parameter_id,MGP_IMM_007_001
gene_symbol,Ola1
mouse_life_stage,E18.5
mouse_strain,C57BL
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
gene_accession_id,MGI:1914309
