analysis_id,g8f0fm56x6v7g75
parameter_name,Total cholesterol
mouse_strain,C57BL
parameter_id,HMGULA_CBC_015_001
pvalue,0.5220468
gene_symbol,Snap23
mouse_life_stage,Late adult
gene_accession_id,MGI:109356
