analysis_id,c27v5698v99t59b
mouse_strain,C57BL
parameter_id,IMPC_XRY_024_001
pvalue,0.4653552
mouse_life_stage,Early adult
gene_symbol,Zmynd8
gene_accession_id,MGI:1918025
parameter_name,Femur
