gene_symbol,Bdh2
analysis_id,bf759zz4wk42810
pvalue,0.6472056
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_ABR_002_001
parameter_name,Click-evoked ABR threshold
gene_accession_id,MGI:1917022
