analysis_id,83jd327507r9k1u
pvalue,0.08940045
parameter_id,IMPC_CAL_008_001
mouse_life_stage,E15.5
gene_symbol,Mapkap1
gene_accession_id,MGI:2444554
mouse_strain,C57BL
parameter_name,Total food intake
