gene_symbol,Gpbp1l1
analysis_id,7v1g6j8v2241048
parameter_name,Vocalization
gene_accession_id,MGI:1924360
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.4723432
parameter_id,IMPC_CSD_078_001
