parameter_name,Radius
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_accession_id,MGI:2140475
parameter_id,IMPC_XRY_022_001
analysis_id,48j94lo5mywags1
gene_symbol,AU040320
pvalue,0.2956161
