parameter_name,eye size
gene_symbol,Bpifa3
analysis_id,l09n7v8754v9a3u
parameter_id,ESLIM_001_001_117
gene_accession_id,MGI:1920638
pvalue,0.07257394
mouse_life_stage,Early adult
mouse_strain,129SV
