analysis_id,wa9o54ugm8y0g54
mouse_strain,C52BL
mouse_life_stage,E9.5
gene_symbol,Ints7
pvalue,0.2200048
parameter_name,Mean cell hemoglobin concentration
gene_accession_id,MGI:1924315
parameter_id,IMPC_HEM_007_001
