analysis_id,0hk292f3y3nj0k9
mouse_life_stage,Early adult
gene_accession_id,MGI:1917604
parameter_id,MGP_MLN_031_001
gene_symbol,Secisbp2l
pvalue,0.8898565
parameter_name,Total NK cells - % of CD45+
mouse_strain,C57BL
