gene_symbol,Dcaf12
analysis_id,0vlyi462e5b1a38
parameter_name,Weight
parameter_id,M-G-P_005_001_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.5560818
gene_accession_id,MGI:1916220
