analysis_id,d416sq279529d98
parameter_name,Tremor
mouse_life_stage,Early adult
gene_symbol,Mov10
parameter_id,IMPC_CSD_030_001
mouse_strain,C57BL
pvalue,0.6743504
gene_accession_id,MGI:97054
