gene_symbol,Bpifa3
parameter_name,Iron
analysis_id,3ye3n5m99mv7194
parameter_id,IMPC_CBC_011_001
gene_accession_id,MGI:1920638
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.1832964
