analysis_id,26i674i7d6m4ztr
parameter_id,IMPC_CBC_001_001
mouse_life_stage,Early adult
pvalue,0.6099709
mouse_strain,C57BL
gene_accession_id,MGI:1915033
gene_symbol,Ahctf1
parameter_name,Sodium
