parameter_id,HRWLLA_FEA_015_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1274787
mouse_strain,C57BL
pvalue,0.7575183
analysis_id,sqtns97141t8978
parameter_name,Cue Baseline % Freezing Time
gene_symbol,Trdmt1
