analysis_id,8x254p47b3zbdq9
pvalue,0.4825908
mouse_life_stage,Early adult
gene_accession_id,MGI:1338032
parameter_name,Chloride
parameter_id,IMPC_CBC_003_001
mouse_strain,C57BL
gene_symbol,Sema6c
