parameter_name,CV
mouse_life_stage,Early adult
analysis_id,b625x3m548066ah
pvalue,0.7635707
parameter_id,IMPC_ECG_003_001
mouse_strain,C57BL
gene_symbol,Ssr2
gene_accession_id,MGI:1913506
