gene_symbol,Golm2
parameter_name,Phosphorus
mouse_strain,C57BL
parameter_id,IMPC_CBC_010_001
gene_accession_id,MGI:2443129
mouse_life_stage,Early adult
analysis_id,o5g9pt24y71x553
pvalue,0.6348253
