gene_symbol,Etfdh
gene_accession_id,MGI:106100
mouse_strain,C57BL
analysis_id,07b38ec9kq43370
parameter_id,IMPC_XRY_067_001
pvalue,0.2527616
parameter_name,Caudal processes
mouse_life_stage,Early adult
