parameter_name,Limb coat/hair presence
pvalue,0.6061181
parameter_id,MGP_CSD_030_001
gene_accession_id,MGI:1915678
mouse_strain,C57BL
analysis_id,14471644s3t8ftq
gene_symbol,Steap3
mouse_life_stage,Early adult
