parameter_name,Sacral processes
mouse_strain,129SV
gene_symbol,Bpifa3
analysis_id,v40hnz14y054dem
gene_accession_id,MGI:1920638
pvalue,0.8486557
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_066_001
