gene_symbol,Ufc1
parameter_id,MGP_CSD_030_001
parameter_name,Limb coat/hair presence
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.5274494
analysis_id,dgzau7g3h416wi7
gene_accession_id,MGI:1913405
