parameter_name,Red blood cell count
gene_accession_id,MGI:2441730
parameter_id,IMPC_HEM_002_001
gene_symbol,Tbl1xr1
analysis_id,83s30bdyx0ju2o7
mouse_life_stage,Late adult
mouse_strain,C57BL
pvalue,0.3688334
