analysis_id,ro616xskhz9r2no
pvalue,0.450211
gene_symbol,Zyg11b
mouse_strain,C57BL
parameter_name,Periphery average speed
parameter_id,JAX_OFD_013_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2685277
