parameter_id,IMPC_ABR_004_001
mouse_life_stage,Early adult
gene_symbol,Casq1
mouse_strain,C57BL
gene_accession_id,MGI:1309468
analysis_id,lb4nfcwwqdr260p
parameter_name,6kHz-evoked ABR Threshold
pvalue,0.5573427
