parameter_name,Embryo turning
gene_accession_id,MGI:88174
mouse_strain,C57BL
parameter_id,IMPC_GEL_011_001
pvalue,0.1792215
mouse_life_stage,Early adult
analysis_id,s8lt6k8rnne2183
gene_symbol,Bmi1
