gene_symbol,Lime1
parameter_id,IMPC_CSD_079_001
analysis_id,t0ny76ecbw565o8
mouse_strain,C57BL
pvalue,0.6776963
gene_accession_id,MGI:1919949
mouse_life_stage,Early adult
parameter_name,Aggression
