parameter_id,IMPC_ECG_003_001
analysis_id,1h09x4pl19eqwo4
gene_symbol,Ap5s1
pvalue,0.4097102
gene_accession_id,MGI:1916846
mouse_life_stage,Early adult
parameter_name,CV
mouse_strain,C57BL
