analysis_id,vl9c795j8uis9hq
parameter_id,IMPC_EYE_026_001
gene_accession_id,MGI:2444114
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.151418
parameter_name,Retinal Blood Vessels Pattern
gene_symbol,Zcchc2
