parameter_name,Heart looping
mouse_strain,C57BL
analysis_id,3044q2ocqwbgb60
gene_accession_id,MGI:1914071
pvalue,0.05542148
parameter_id,IMPC_GEL_057_001
mouse_life_stage,E12.5
gene_symbol,Bcs1l
