parameter_id,JAXLA_HBD_001_001
analysis_id,dl61k0c57elvuc5
mouse_strain,C57BL
gene_accession_id,MGI:2385884
parameter_name,Total holepokes
gene_symbol,Ddx27
pvalue,0.4098638
mouse_life_stage,Early adult
