analysis_id,d36892zg9m9453c
parameter_name,Edema
mouse_life_stage,Early adult
gene_symbol,Ppm1j
parameter_id,IMPC_GEO_064_001
mouse_strain,C57BL
gene_accession_id,MGI:1919137
pvalue,0.3440591
