parameter_name,Body Weight
analysis_id,0f0s589f50w77q5
pvalue,0.6987445
gene_accession_id,MGI:1918025
mouse_strain,129SV
parameter_id,M-G-P_012_001_005
mouse_life_stage,Early adult
gene_symbol,Zmynd8
