gene_symbol,Ints7
pvalue,0.7796144
mouse_strain,C57BL
analysis_id,g62n6glj3q13263
parameter_id,MGP_PBI_008_001
parameter_name,CD4+ CD25+ alpha beta regulatory T cell percentage
mouse_life_stage,E9.5
gene_accession_id,MGI:1924315
