parameter_name,Narrow eye opening
mouse_strain,129SV
pvalue,0.8408313
mouse_life_stage,Early adult
gene_accession_id,MGI:104848
parameter_id,IMPC_EYE_006_001
gene_symbol,Inpp1
analysis_id,m3dg6v5wykg3882
